Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Santa Fe,Caseros,28.0,3185.0,37.0,7096.0,30.0,7118.0
Santa Fe,Belgrano,17.0,1968.0,28.0,4246.0,15.0,4258.0
Santa Fe,Garay,20.0,1219.0,22.0,2543.0,8.0,2176.0
Santiago del Estero,Capital,143.0,15140.0,113.0,31921.0,97.0,30489.0
Santiago del Estero,Banda,119.0,9064.0,105.0,18598.0,66.0,17239.0
Santiago del Estero,Copo,33.0,2124.0,79.0,4205.0,20.0,4433.0
Santiago del Estero,Pellegrini,51.0,1418.0,72.0,3051.0,40.0,3044.0
Santiago del Estero,Moreno,46.0,2441.0,72.0,4781.0,26.0,5233.0
Santiago del Estero,Figueroa,54.0,1183.0,70.0,2373.0,33.0,2525.0
Santiago del Estero,Río Hondo,66.0,3438.0,68.0,7369.0,47.0,6937.0
Santiago del Estero,Alberdi,36.0,1184.0,58.0,2442.0,22.0,2391.0
Santiago del Estero,General Taboada,44.0,2553.0,52.0,5109.0,14.0,5508.0
Santiago del Estero,Avellaneda,30.0,1481.0,52.0,3000.0,26.0,3197.0
Santiago del Estero,Juan Felipe Ibarra,31.0,1139.0,49.0,2575.0,16.0,2628.0
Santiago del Estero,Choya,40.0,2071.0,48.0,4467.0,32.0,4639.0
Santiago del Estero,Loreto,51.0,1155.0,47.0,2577.0,30.0,2659.0
Santiago del Estero,Ojo de Agua,29.0,758.0,45.0,1482.0,10.0,1570.0
Santiago del Estero,Quebrachos,27.0,741.0,43.0,1334.0,15.0,1347.0
Santiago del Estero,Jiménez,27.0,980.0,39.0,1990.0,32.0,2101.0
Santiago del Estero,Salavina,28.0,666.0,38.0,1443.0,20.0,1694.0
Santiago del Estero,Robles,46.0,2959.0,38.0,6060.0,24.0,6126.0
Santiago del Estero,San Martín,27.0,610.0,36.0,1345.0,20.0,1495.0
Santiago del Estero,Atamisqui,26.0,822.0,26.0,1820.0,13.0,1943.0
Santiago del Estero,Guasayán,18.0,494.0,23.0,929.0,15.0,952.0
Santiago del Estero,Sarmiento,10.0,286.0,17.0,630.0,8.0,593.0
Santiago del Estero,Silípica,14.0,464.0,16.0,1008.0,14.0,1059.0
Santiago del Estero,Rivadavia,12.0,261.0,16.0,561.0,4.0,533.0
Santiago del Estero,Aguirre,10.0,434.0,13.0,908.0,5.0,937.0
Santiago del Estero,Belgrano,7.0,585.0,12.0,1115.0,5.0,1075.0
Santiago del Estero,Mitre,5.0,62.0,10.0,120.0,4.0,159.0
Tierra del Fuego,Río Grande,28.0,5093.0,33.0,10882.0,24.0,10602.0
Tierra del Fuego,Ushuaia,23.0,3576.0,29.0,7604.0,23.0,7531.0
Tucumán,Capital,188.0,24461.0,138.0,51884.0,146.0,50203.0
Tucumán,Cruz Alta,89.0,11658.0,76.0,25245.0,53.0,23969.0
Tucumán,Leales,73.0,3089.0,73.0,6760.0,51.0,6775.0
Tucumán,Burruyacú,57.0,2331.0,57.0,5233.0,44.0,4933.0
Tucumán,Simoca,52.0,1709.0,52.0,3784.0,33.0,3652.0
Tucumán,Tafí Viejo,55.0,8495.0,49.0,18682.0,39.0,17835.0
Tucumán,Chicligasta,44.0,4203.0,41.0,9110.0,30.0,9000.0
Tucumán,Monteros,42.0,3579.0,40.0,7986.0,25.0,7855.0
Tucumán,Lules,37.0,4717.0,32.0,10920.0,23.0,10146.0
Tucumán,Yerba Buena,34.0,4689.0,32.0,10227.0,29.0,9933.0
Tucumán,Río Chico,30.0,3011.0,30.0,6593.0,26.0,6541.0
Tucumán,Graneros,30.0,800.0,30.0,1629.0,24.0,1578.0
Tucumán,Trancas,25.0,1163.0,25.0,2451.0,18.0,2433.0
Tucumán,Tafí del Valle,24.0,1010.0,24.0,2270.0,12.0,2092.0
Tucumán,Famaillá,24.0,2322.0,23.0,4753.0,16.0,4570.0
Tucumán,Juan Bautista Alberdi,19.0,1586.0,19.0,3478.0,13.0,3547.0
Tucumán,La Cocha,17.0,992.0,18.0,2167.0,13.0,2302.0
