,Cueanexo,nivel
138,60420400,Nivel inicial - Jardín de infantes
139,60421900,Nivel inicial - Jardín de infantes
140,60425100,Nivel inicial - Jardín de infantes
141,60440400,Nivel inicial - Jardín de infantes
142,60447700,Nivel inicial - Jardín de infantes
143,60458400,Nivel inicial - Jardín de infantes
144,60466300,Nivel inicial - Jardín de infantes
145,60471700,Nivel inicial - Jardín de infantes
146,60473200,Nivel inicial - Jardín de infantes
147,60474600,Nivel inicial - Jardín de infantes
148,60480800,Nivel inicial - Jardín de infantes
149,60485600,Nivel inicial - Jardín de infantes
150,60495400,Nivel inicial - Jardín de infantes
151,60497200,Nivel inicial - Jardín de infantes
152,60508400,Nivel inicial - Jardín de infantes
153,60511700,Nivel inicial - Jardín de infantes
154,60515300,Nivel inicial - Jardín de infantes
155,60517400,Nivel inicial - Jardín de infantes
156,60533700,Nivel inicial - Jardín de infantes
157,60540300,Nivel inicial - Jardín de infantes
158,60542800,Nivel inicial - Jardín de infantes
159,60544700,Nivel inicial - Jardín de infantes
160,60546000,Nivel inicial - Jardín de infantes
161,60555900,Nivel inicial - Jardín de infantes
162,60556300,Nivel inicial - Jardín de infantes
163,60557200,Nivel inicial - Jardín de infantes
164,60574500,Nivel inicial - Jardín de infantes
165,60578300,Nivel inicial - Jardín de infantes
166,60581700,Nivel inicial - Jardín de infantes
167,60582900,Nivel inicial - Jardín de infantes
168,60585500,Nivel inicial - Jardín de infantes
169,60589100,Nivel inicial - Jardín de infantes
170,60605400,Nivel inicial - Jardín de infantes
171,60605500,Nivel inicial - Jardín de infantes
172,60605600,Nivel inicial - Jardín de infantes
173,60605700,Nivel inicial - Jardín de infantes
174,60617200,Nivel inicial - Jardín de infantes
175,60620100,Nivel inicial - Jardín de infantes
176,60627200,Nivel inicial - Jardín de infantes
177,60629800,Nivel inicial - Jardín de infantes
178,60649100,Nivel inicial - Jardín de infantes
179,60656500,Nivel inicial - Jardín de infantes
180,60665800,Nivel inicial - Jardín de infantes
181,60671800,Nivel inicial - Jardín de infantes
182,60672700,Nivel inicial - Jardín de infantes
183,60692100,Nivel inicial - Jardín de infantes
184,60721000,Nivel inicial - Jardín de infantes
185,60722300,Nivel inicial - Jardín de infantes
186,60722700,Nivel inicial - Jardín de infantes
187,60728300,Nivel inicial - Jardín de infantes
188,60732100,Nivel inicial - Jardín de infantes
189,60732500,Nivel inicial - Jardín de infantes
190,60736400,Nivel inicial - Jardín de infantes
191,60741800,Nivel inicial - Jardín de infantes
192,60747500,Nivel inicial - Jardín de infantes
193,60758100,Nivel inicial - Jardín de infantes
194,60764500,Nivel inicial - Jardín de infantes
195,60793000,Nivel inicial - Jardín de infantes
196,60798700,Nivel inicial - Jardín de infantes
197,60807900,Nivel inicial - Jardín de infantes
198,60809000,Nivel inicial - Jardín de infantes
199,60811100,Nivel inicial - Jardín de infantes
200,60811300,Nivel inicial - Jardín de infantes
201,60824200,Nivel inicial - Jardín de infantes
202,60833700,Nivel inicial - Jardín de infantes
203,60839100,Nivel inicial - Jardín de infantes
204,60849700,Nivel inicial - Jardín de infantes
205,60850900,Nivel inicial - Jardín de infantes
206,60859200,Nivel inicial - Jardín de infantes
207,60861000,Nivel inicial - Jardín de infantes
208,60869100,Nivel inicial - Jardín de infantes
209,60869800,Nivel inicial - Jardín de infantes
210,60869900,Nivel inicial - Jardín de infantes
211,60894300,Nivel inicial - Jardín de infantes
212,60895000,Nivel inicial - Jardín de infantes
213,60900300,Nivel inicial - Jardín de infantes
214,60925600,Nivel inicial - Jardín de infantes
215,60941400,Nivel inicial - Jardín de infantes
216,60969600,Nivel inicial - Jardín de infantes
217,61002400,Nivel inicial - Jardín de infantes
218,61013800,Nivel inicial - Jardín de infantes
219,61016200,Nivel inicial - Jardín de infantes
220,61024500,Nivel inicial - Jardín de infantes
221,61033500,Nivel inicial - Jardín de infantes
222,61046900,Nivel inicial - Jardín de infantes
223,61049700,Nivel inicial - Jardín de infantes
224,61052900,Nivel inicial - Jardín de infantes
225,61056000,Nivel inicial - Jardín de infantes
226,61059300,Nivel inicial - Jardín de infantes
227,61060400,Nivel inicial - Jardín de infantes
228,61062200,Nivel inicial - Jardín de infantes
229,61065000,Nivel inicial - Jardín de infantes
230,61068100,Nivel inicial - Jardín de infantes
231,61073800,Nivel inicial - Jardín de infantes
232,61073900,Nivel inicial - Jardín de infantes
233,61076200,Nivel inicial - Jardín de infantes
234,61078700,Nivel inicial - Jardín de infantes
235,61083500,Nivel inicial - Jardín de infantes
236,61086600,Nivel inicial - Jardín de infantes
237,61095800,Nivel inicial - Jardín de infantes
238,61105700,Nivel inicial - Jardín de infantes
239,61119100,Nivel inicial - Jardín de infantes
240,61119800,Nivel inicial - Jardín de infantes
241,61121700,Nivel inicial - Jardín de infantes
242,61123200,Nivel inicial - Jardín de infantes
243,61125200,Nivel inicial - Jardín de infantes
244,61133300,Nivel inicial - Jardín de infantes
245,61135900,Nivel inicial - Jardín de infantes
246,61158300,Nivel inicial - Jardín de infantes
247,61166400,Nivel inicial - Jardín de infantes
248,61198700,Nivel inicial - Jardín de infantes
249,61199700,Nivel inicial - Jardín de infantes
250,61207900,Nivel inicial - Jardín de infantes
251,61208000,Nivel inicial - Jardín de infantes
252,61214200,Nivel inicial - Jardín de infantes
253,61216000,Nivel inicial - Jardín de infantes
254,61219200,Nivel inicial - Jardín de infantes
255,61219500,Nivel inicial - Jardín de infantes
256,61226400,Nivel inicial - Jardín de infantes
257,61227000,Nivel inicial - Jardín de infantes
258,61234400,Nivel inicial - Jardín de infantes
259,61244100,Nivel inicial - Jardín de infantes
260,61245600,Nivel inicial - Jardín de infantes
261,61246500,Nivel inicial - Jardín de infantes
262,61248700,Nivel inicial - Jardín de infantes
263,61249900,Nivel inicial - Jardín de infantes
264,61271200,Nivel inicial - Jardín de infantes
265,61276800,Nivel inicial - Jardín de infantes
266,61295100,Nivel inicial - Jardín de infantes
267,61304700,Nivel inicial - Jardín de infantes
268,61338000,Nivel inicial - Jardín de infantes
269,61344400,Nivel inicial - Jardín de infantes
270,61351300,Nivel inicial - Jardín de infantes
271,61361100,Nivel inicial - Jardín de infantes
