Provincia,Departamento,Cant_BP,Cant_EE,Población
Santiago del Estero,Guasayán,0,40,9251.0
Tucumán,Famaillá,2,39,42669.0
Córdoba,Pocho,0,39,5070.0
Buenos Aires,Adolfo Gonzales Chaves,2,38,12847.0
La Rioja,General Belgrano,2,38,7615.0
Entre Ríos,Islas del Ibicuy,1,38,13984.0
Buenos Aires,General Las Heras,1,37,17980.0
Mendoza,Tupungato,1,37,41168.0
San Juan,Calingasta,2,36,10667.0
Santa Fe,Garay,2,36,24853.0
Tucumán,Tafí del Valle,2,36,22382.0
Buenos Aires,General Belgrano,0,36,20674.0
Buenos Aires,General La Madrid,1,35,11535.0
Catamarca,Ambato,1,35,5087.0
La Rioja,General Juan Facundo Quiroga,0,35,4013.0
Río Negro,San Antonio,4,34,35473.0
Catamarca,Paclín,2,34,4696.0
Chaco,General Donovan,2,34,15061.0
Tucumán,Juan Bautista Alberdi,1,34,34745.0
Buenos Aires,Leandro N. Alem,3,33,17153.0
Buenos Aires,Villa Gesell,2,33,37325.0
Buenos Aires,Benito Juárez,1,33,21185.0
Buenos Aires,Suipacha,1,33,11736.0
Chaco,Fray Justo Santa María de Oro,1,33,10643.0
Corrientes,Sauce,1,33,10382.0
San Juan,Albardón,1,33,31281.0
Tucumán,La Cocha,1,33,21196.0
Salta,Iruya,0,33,6116.0
Buenos Aires,General Arenales,2,32,16231.0
Buenos Aires,Laprida,1,32,11496.0
La Rioja,Famatina,1,32,6984.0
Santiago del Estero,Silípica,0,32,9766.0
La Pampa,Utracán,5,31,17686.0
Buenos Aires,Pinamar,2,31,39224.0
Entre Ríos,San Salvador,2,31,20786.0
Misiones,Concepción,1,31,10303.0
La Pampa,Realicó,8,30,17356.0
La Pampa,Conhelo,5,30,15094.0
Neuquén,Pehuenches,2,30,29721.0
San Juan,Iglesia,2,30,8826.0
Jujuy,Tilcara,1,30,14621.0
Neuquén,Huiliches,1,30,20853.0
Buenos Aires,General Pinto,4,29,12842.0
Mendoza,Santa Rosa,2,29,19379.0
Buenos Aires,Punta Indio,1,29,12161.0
Corrientes,San Miguel,0,29,12700.0
La Pampa,Rancul,6,28,11090.0
San Juan,San Martín,3,28,15037.0
Buenos Aires,Alberti,2,28,12906.0
Jujuy,Santa Bárbara,2,28,20497.0
Salta,Cerrillos,2,28,55713.0
Buenos Aires,Capitán Sarmiento,1,28,15882.0
San Juan,Angaco,0,28,10172.0
Catamarca,Fray Mamerto Esquiú,4,27,14624.0
Río Negro,25 de Mayo,2,27,16555.0
La Rioja,Ángel Vicente Peñaloza,1,27,3184.0
Salta,San Carlos,1,27,7779.0
La Pampa,Chapaleufú,5,26,12277.0
Buenos Aires,Castelli,1,26,9551.0
Buenos Aires,Maipú,1,26,11253.0
Chaco,Libertad,0,26,13775.0
Corrientes,Mburucuyá,0,26,11541.0
Santiago del Estero,Sarmiento,0,26,5034.0
San Luis,Gobernador Dupuy,2,25,14334.0
Chaco,Presidencia de la Plaza,1,25,13938.0
La Rioja,Arauco,1,25,16251.0
La Rioja,General Felipe Varela,1,25,11371.0
Buenos Aires,Pila,0,25,4615.0
Chaco,1º de Mayo,0,25,14265.0
Jujuy,Santa Catalina,0,25,2641.0
Salta,Chicoana,0,25,24715.0
Neuquén,Chos Malal,4,24,18289.0
Neuquén,Minas,3,24,9267.0
Buenos Aires,Florentino Ameghino,0,24,10759.0
Chubut,Gaiman,3,23,12505.0
Chaco,2 de Abril,1,23,8310.0
Salta,Cachi,0,22,8928.0
Neuquén,Aluminé,3,21,10173.0
Jujuy,Tumbaya,2,21,5298.0
Buenos Aires,General Guido,1,21,3157.0
Chaco,General Belgrano,1,21,12807.0
Corrientes,General Alvear,1,21,9051.0
Corrientes,Itatí,1,21,11946.0
Santa Cruz,Lago Argentino,1,21,25384.0
Santiago del Estero,Rivadavia,1,21,5314.0
Santiago del Estero,Aguirre,0,21,8959.0
La Pampa,Atreucó,5,20,11053.0
Buenos Aires,San Cayetano,2,20,8918.0
Río Negro,Pilcaniyeu,2,20,9309.0
Chubut,Río Senguer,1,20,6347.0
Salta,Molinos,1,20,5808.0
Córdoba,Sobremonte,0,20,4381.0
La Pampa,Puelén,0,20,11636.0
Buenos Aires,Hipólito Yrigoyen,1,19,10581.0
Neuquén,Añelo,1,19,18150.0
Neuquén,Los Lagos,1,19,15502.0
Río Negro,Pichi Mahuida,1,19,16493.0
Santiago del Estero,Belgrano,1,19,10809.0
Jujuy,Rinconada,0,19,1797.0
La Pampa,Loventué,3,18,9243.0
Jujuy,Susques,2,18,3966.0
Neuquén,Ñorquín,2,18,5572.0
Río Negro,El Cuy,2,18,6960.0
Buenos Aires,General Lavalle,1,18,4846.0
Buenos Aires,Lezama,0,18,6170.0
La Pampa,Guatraché,5,17,9397.0
La Pampa,Quemú Quemú,4,17,8404.0
Buenos Aires,Tres Lomas,1,17,9090.0
Chubut,Sarmiento,1,17,14477.0
Chaco,Tapenagá,0,17,4051.0
Salta,La Caldera,2,16,12246.0
La Rioja,San Blas de Los Sauces,1,16,4306.0
Neuquén,Picunches,1,16,8471.0
Mendoza,La Paz,0,16,12018.0
La Pampa,Toay,1,15,17927.0
Salta,Cafayate,1,15,17822.0
Río Negro,9 de Julio,0,15,3682.0
Santa Cruz,Corpen Aike,0,15,15035.0
La Rioja,Castro Barros,4,14,5810.0
La Pampa,Catriló,3,14,8225.0
Buenos Aires,Pellegrini,1,14,7112.0
Neuquén,Loncopué,1,14,7696.0
Río Negro,Conesa,1,14,7398.0
Buenos Aires,Salliqueló,0,14,9344.0
Jujuy,Valle Grande,0,14,2490.0
Santiago del Estero,Mitre,0,14,1440.0
La Pampa,Hucal,4,13,7713.0
Neuquén,Catán Lil,1,13,2641.0
Río Negro,Valcheta,1,13,4300.0
Salta,Los Andes,1,13,7182.0
La Rioja,Independencia,0,13,2399.0
Chubut,Tehuelches,2,12,5947.0
La Pampa,Trenel,2,12,5637.0
Río Negro,Ñorquinco,2,12,1452.0
Chubut,Languiñeo,1,12,2862.0
San Juan,9 de Julio,1,12,12498.0
Santa Cruz,Lago Buenos Aires,1,12,12584.0
Salta,Guachipas,0,12,3491.0
Salta,La Viña,0,12,8888.0
Catamarca,Antofagasta de la Sierra,0,11,1822.0
Salta,La Candelaria,2,10,7182.0
Buenos Aires,Monte Hermoso,1,10,8444.0
Buenos Aires,Tordillo,1,10,2528.0
Neuquén,Picún Leufú,1,10,5087.0
Salta,La Poma,1,10,1789.0
Chubut,Gastre,0,10,1181.0
La Rioja,Vinchina,0,10,2695.0
Santa Cruz,Río Chico,2,9,6271.0
Neuquén,Collón Curá,1,9,4832.0
Santa Cruz,Magallanes,0,9,12828.0
Chubut,Telsen,2,8,1608.0
Jujuy,San Antonio,1,8,6729.0
Chubut,Paso de Indios,0,7,1882.0
Corrientes,Berón de Astrada,0,7,2808.0
La Pampa,Chical Co,0,7,1461.0
San Juan,Zonda,1,6,6674.0
La Pampa,Curacó,0,6,1103.0
La Pampa,Caleu Caleu,1,5,2611.0
San Juan,Ullum,1,5,6454.0
La Pampa,Chalileo,0,5,2868.0
La Rioja,General Lamadrid,0,5,1885.0
La Pampa,Limay Mahuida,0,4,413.0
La Pampa,Lihuel Calel,1,3,428.0
La Rioja,Sanagasta,1,3,2994.0
Chubut,Florentino Ameghino,0,3,1782.0
Chubut,Mártires,0,3,744.0
